Degrees and Certificates Awarded by Curriculum Area,
DimYear,InstTypeList,InstList,MajorTypeDesc,LevelGroupDesc,CIPGroupDesc,CIPDesc,Count,
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15070100 - Occupational Safety and Health Technology/Technician","8",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15100100 - Construction Engineering Technology/Technician","1",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","19 - Family and Consumer Sciences/Human Sciences","19070900 - Child Care Provider/Assistant","6",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","51 - Health Professions and Related Programs","51060200 - Dental Hygiene/Hygienist","27",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","51 - Health Professions and Related Programs","51090400 - Emergency Medical Technology/Technician (EMT Paramedic)","3",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","51 - Health Professions and Related Programs","51091000 - Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","16",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","52 - Business, Management, Marketing and Related Support Services","52150100 - Real Estate","3",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15070100 - Occupational Safety and Health Technology/Technician","6",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","19 - Family and Consumer Sciences/Human Sciences","19070900 - Child Care Provider/Assistant","1",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43010700 - Criminal Justice/Police Science","50",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43020300 - Fire Science/Firefighting","22",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","46 - Construction Trades","46030300 - Lineworker","11",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","51 - Health Professions and Related Programs","51090400 - Emergency Medical Technology/Technician (EMT Paramedic)","13",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","52 - Business, Management, Marketing and Related Support Services","52040100 - Administrative Assistant and Secretarial Science, General","1",
"2014","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","52 - Business, Management, Marketing and Related Support Services","52150100 - Real Estate","3",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","1",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","12 - Personal and Culinary Services","12050800 - Institutional Food Workers","1",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040400 - Instrumentation Technology/Technician","48",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15050100 - Heating, Ventilation , Air Conditioning and Refrigeration Technology/Technician","2",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15120200 - Computer Technology/Computer Systems Technology","23",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15130100 - Drafting and Design Technology/Technician, General","29",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","41 - Science Technologies/Technicians","41030100 - Chemical Technology/Technician","73",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43010700 - Criminal Justice/Police Science","5",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","44 - Public Administration and Social Service Professions","44040100 - Public Administration","3",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47030300 - Industrial Mechanics and Maintenance Technology","3",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47060500 - Diesel Mechanics Technology/Technician","4",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","48 - Precision Production","48050800 - Welding Technology/Welder","4",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","51 - Health Professions and Related Programs","51070700 - Health Information/Medical Records Technology/Technician","17",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","51 - Health Professions and Related Programs","51090800 - Respiratory Care Therapy/Therapist","14",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","51 - Health Professions and Related Programs","51091100 - Radiologic Technology/Science - Radiographer","21",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","52 - Business, Management, Marketing and Related Support Services","52020100 - Business Administration and Management, General","9",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","52 - Business, Management, Marketing and Related Support Services","52030200 - Accounting Technology/Technician and Bookkeeping","11",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","52 - Business, Management, Marketing and Related Support Services","52040100 - Administrative Assistant and Secretarial Science, General","12",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","1",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15040400 - Instrumentation Technology/Technician","2",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15050100 - Heating, Ventilation , Air Conditioning and Refrigeration Technology/Technician","8",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15120200 - Computer Technology/Computer Systems Technology","13",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43010700 - Criminal Justice/Police Science","1",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","44 - Public Administration and Social Service Professions","44040100 - Public Administration","1",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","47 - Mechanic and Repair Technologies/Technicians","47030300 - Industrial Mechanics and Maintenance Technology","2",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060500 - Diesel Mechanics Technology/Technician","7",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","48 - Precision Production","48050800 - Welding Technology/Welder","17",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","51 - Health Professions and Related Programs","51070700 - Health Information/Medical Records Technology/Technician","11",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","51 - Health Professions and Related Programs","51080500 - Pharmacy Technician/Assistant","11",
"2014","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","52 - Business, Management, Marketing and Related Support Services","52040100 - Administrative Assistant and Secretarial Science, General","2",
"2014","Lamar State Colleges","Lamar State College-Orange","Academic","Associate","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","2",
"2014","Lamar State Colleges","Lamar State College-Orange","Academic","Associate","13 - Education","13120600 - Teacher Education, Multiple Levels","21",
"2014","Lamar State Colleges","Lamar State College-Orange","Academic","Associate","23 - English Language and Literature/Letters","23130400 - Rhetoric and Composition","2",
"2014","Lamar State Colleges","Lamar State College-Orange","Academic","Associate","24 - Liberal Arts and Sciences, General Studies and Humanities","24010100 - Liberal Arts and Sciences/Liberal Studies","36",
"2014","Lamar State Colleges","Lamar State College-Orange","Academic","Associate","26 - Biological and Biomedical Sciences","26010100 - Biology/Biological Sciences, General","5",
"2014","Lamar State Colleges","Lamar State College-Orange","Academic","Associate","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43010400 - Criminal Justice/Safety Studies","9",
"2014","Lamar State Colleges","Lamar State College-Orange","Academic","Associate","45 - Social Sciences","45110100 - Sociology","4",
"2014","Lamar State Colleges","Lamar State College-Orange","Academic","Associate","52 - Business, Management, Marketing and Related Support Services","52010100 - Business/Commerce, General","17",
"2014","Lamar State Colleges","Lamar State College-Orange","Technical","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15040400 - Instrumentation Technology/Technician","5",
"2014","Lamar State Colleges","Lamar State College-Orange","Technical","Certificate","24 - Liberal Arts and Sciences, General Studies and Humanities","24010200 - General Studies","17",
"2014","Lamar State Colleges","Lamar State College-Orange","Technical","Certificate","41 - Science Technologies/Technicians","41030100 - Chemical Technology/Technician","1",
"2014","Lamar State Colleges","Lamar State College-Orange","Technical","Certificate","51 - Health Professions and Related Programs","51060100 - Dental Assisting/Assistant","27",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Associate","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","3",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Associate","41 - Science Technologies/Technicians","41030100 - Chemical Technology/Technician","38",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Associate","51 - Health Professions and Related Programs","51071600 - Medical Administrative/Executive Assistant and Medical Secretary","11",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Associate","51 - Health Professions and Related Programs","51380100 - Registered Nursing/Registered Nurse","51",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Associate","52 - Business, Management, Marketing and Related Support Services","52020100 - Business Administration and Management, General","7",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Certificate","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","7",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Certificate","41 - Science Technologies/Technicians","41030100 - Chemical Technology/Technician","31",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Certificate","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43010200 - Corrections","20",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Certificate","51 - Health Professions and Related Programs","51071600 - Medical Administrative/Executive Assistant and Medical Secretary","30",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Certificate","51 - Health Professions and Related Programs","51080500 - Pharmacy Technician/Assistant","10",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Certificate","51 - Health Professions and Related Programs","51390100 - Licensed Practical/Vocational Nurse Training","131",
"2014","Lamar State Colleges","Lamar State College-Orange","Tech-Prep","Certificate","52 - Business, Management, Marketing and Related Support Services","52020100 - Business Administration and Management, General","14",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Academic","Associate","13 - Education","13120600 - Teacher Education, Multiple Levels","16",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Academic","Associate","24 - Liberal Arts and Sciences, General Studies and Humanities","24010200 - General Studies","85",
