Degrees and Certificates Awarded by Curriculum Area,
DimYear,InstTypeList,InstList,MajorTypeDesc,LevelGroupDesc,CIPGroupDesc,CIPDesc,Count,
"2023","Public Universities","Angelo State University","Academic","Bachelor's","01 - Agriculture, Agriculture Operations, and Related Sciences","01000000 - Agriculture, General","9",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","01 - Agriculture, Agriculture Operations, and Related Sciences","01010200 - Agribusiness/Agricultural Business Operations","15",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","01 - Agriculture, Agriculture Operations, and Related Sciences","01040101 - Meat Science","1",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","01 - Agriculture, Agriculture Operations, and Related Sciences","01090100 - Animal Sciences, General","34",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","03 - Natural Resources and Conservation","03020100 - Natural Resources Management and Policy","5",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","09 - Communication, Journalism, Related Programs","09010000 - Communication, General","12",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","09 - Communication, Journalism, Related Programs","09040100 - Journalism","11",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","45",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","11 - Computer and Information Sciences and Support Services","11040100 - Information Science/Studies","6",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","14 - Engineering","14080100 - Civil Engineering, General","14",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","14 - Engineering","14190100 - Mechanical Engineering","15",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","16 - Foreign Languages, Literatures and Linguistics","16090500 - Spanish Language and Literature","3",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","23 - English Language and Literature/Letters","23010100 - English Language and Literature, General","17",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","26 - Biological and Biomedical Sciences","26010100 - Biology/Biological Sciences, General","49",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","27 - Mathematics and Statistics","27010100 - Mathematics, General","8",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","30 - Multi/Interdisciplinary Studies","30999901 - Interdisciplinary Studies, General","143",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","30 - Multi/Interdisciplinary Studies","30999940 - Applied Arts & Sciences","4",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","31 - Parks, Recreation, Leisure and Fitness Studies","31050500 - Kinesiology and Exercise Science","83",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","40 - Physical Sciences","40050100 - Chemistry, General","9",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","40 - Physical Sciences","40060100 - Geology/Earth Science, General","8",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","40 - Physical Sciences","40080100 - Physics, General","9",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","42 - Psychology","42010100 - Psychology, General","71",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43010400 - Criminal Justice/Safety Studies","39",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43030100 - Homeland Security","9",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","44 - Public Administration and Social Service Professions","44070100 - Social Work","77",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","45 - Social Sciences","45090200 - National Security Policy Studies","21",
"2023","Public Universities","Angelo State University","Academic","Bachelor's","45 - Social Sciences","45100100 - Political Science and Government, General","4",
