Degrees and Certificates Awarded by Curriculum Area,
DimYear,InstTypeList,InstList,MajorTypeDesc,LevelGroupDesc,CIPGroupDesc,CIPDesc,Count,
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Academic","Associate","14 - Engineering","14010100 - Engineering, General","3",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Academic","Associate","26 - Biological and Biomedical Sciences","26010100 - Biology/Biological Sciences, General","32",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Academic","Associate","27 - Mathematics and Statistics","27010100 - Mathematics, General","1",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Academic","Associate","40 - Physical Sciences","40080100 - Physics, General","1",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Academic","Associate","51 - Health Professions and Related Programs","51000000 - Health Services/Allied Health/Health Sciences, General","1",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Academic","Associate","51 - Health Professions and Related Programs","51110500 - Pre-Nursing Studies","32",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Academic","Core Curriculum Completer","24 - Liberal Arts and Sciences, General Studies and Humanities","24010100 - Liberal Arts and Sciences/Liberal Studies","145",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Associate","13 - Education","13150100 - Teacher Assistant/Aide","47",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040300 - Electromechanical Technology/Electromechanical Engineering Technology","10",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15100100 - Construction Engineering Technology/Technician","5",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15130100 - Drafting and Design Technology/Technician, General","19",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Associate","47 - Mechanic and Repair Technologies/Technicians","47060400 - Automobile/Automotive Mechanics Technology/Technician","17",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Associate","47 - Mechanic and Repair Technologies/Technicians","47060700 - Airframe Mechanics and Aircraft Maintenance Technology/Technician","3",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Associate","48 - Precision Production","48050800 - Welding Technology/Welder","12",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Associate","51 - Health Professions and Related Programs","51060200 - Dental Hygiene/Hygienist","30",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Associate","51 - Health Professions and Related Programs","51060300 - Dental Laboratory Technology/Technician","10",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Associate","51 - Health Professions and Related Programs","51090900 - Surgical Technology/Technologist","15",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Associate","51 - Health Professions and Related Programs","51380100 - Registered Nursing/Registered Nurse","18",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Certificate","13 - Education","13150100 - Teacher Assistant/Aide","3",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15040300 - Electromechanical Technology/Electromechanical Engineering Technology","21",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060400 - Automobile/Automotive Mechanics Technology/Technician","14",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060700 - Airframe Mechanics and Aircraft Maintenance Technology/Technician","2",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060800 - Aircraft Powerplant Technology/Technician","2",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Certificate","48 - Precision Production","48050800 - Welding Technology/Welder","30",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Certificate","51 - Health Professions and Related Programs","51000000 - Health Services/Allied Health/Health Sciences, General","19",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Certificate","51 - Health Professions and Related Programs","51060100 - Dental Assisting/Assistant","32",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Certificate","51 - Health Professions and Related Programs","51060300 - Dental Laboratory Technology/Technician","2",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Certificate","51 - Health Professions and Related Programs","51070800 - Medical Transcription/Transcriptionist","9",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Certificate","51 - Health Professions and Related Programs","51390100 - Licensed Practical/Vocational Nurse Training","20",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Technical","Certificate","51 - Health Professions and Related Programs","51390200 - Nursing Assistant/Aide and Patient Care Assistant/Aide","78",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","01 - Agriculture, Agriculture Operations, and Related Sciences","01010600 - Agricultural Business Technology","8",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","11 - Computer and Information Sciences and Support Services","11020100 - Computer Programming/Programmer, General","4",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","11 - Computer and Information Sciences and Support Services","11090100 - Computer Systems Networking and Telecommunications","17",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","12 - Personal and Culinary Services","12050800 - Institutional Food Workers","18",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15030500 - Telecommunications Technology/Technician","7",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040100 - Biomedical Technology/Technician","29",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040300 - Electromechanical Technology/Electromechanical Engineering Technology","10",
"2014","Texas State Technical Colleges","Texas State Technical College in Harlingen","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15100100 - Construction Engineering Technology/Technician","1",
